date,1. open,2. high,3. low,4. close,5. volume
2024-08-02 17:30:00,166.15,166.16,165.94,166.1,3837.0
2024-08-02 17:15:00,166.2,166.26,165.88,166.16,7256.0
2024-08-02 17:00:00,166.15,166.971,165.656,166.06,78330.0
2024-08-02 16:45:00,166.429,166.971,166.001,166.14,121576.0
2024-08-02 16:30:00,166.61,166.83,166.0,166.44,10783.0
2024-08-02 16:15:00,166.66,166.66,166.41,166.61,365626.0
2024-08-02 16:00:00,166.65,166.79,166.464,166.59,7972397.0
2024-08-02 15:45:00,166.09,166.77,165.5,166.68,2721849.0
2024-08-02 15:30:00,166.38,166.66,165.74,166.095,940782.0
2024-08-02 15:15:00,166.125,166.46,166.01,166.39,630336.0
2024-08-02 15:00:00,165.68,166.18,165.53,166.125,549204.0
2024-08-02 14:45:00,165.52,165.93,165.43,165.66,534653.0
2024-08-02 14:30:00,165.45,165.79,165.26,165.52,562970.0
2024-08-02 14:15:00,165.29,165.445,164.86,165.445,779179.0
2024-08-02 14:00:00,165.47,165.47,165.12,165.295,428403.0
2024-08-02 13:45:00,165.38,165.56,165.15,165.47,445554.0
2024-08-02 13:30:00,165.36,165.57,165.2,165.37,398813.0
2024-08-02 13:15:00,165.57,165.71,165.19,165.375,492636.0
2024-08-02 13:00:00,165.19,165.7,164.98,165.59,536210.0
2024-08-02 12:45:00,165.49,165.59,164.97,165.21,501456.0
2024-08-02 12:30:00,165.54,165.86,165.05,165.5,873380.0
2024-08-02 12:15:00,166.23,166.34,165.545,165.545,757867.0
2024-08-02 12:00:00,166.69,167.07,166.025,166.25,506627.0
2024-08-02 11:45:00,166.81,167.03,166.29,166.69,645772.0
2024-08-02 11:30:00,166.31,166.934,166.08,166.81,771068.0
2024-08-02 11:15:00,165.73,166.59,165.58,166.325,933210.0
2024-08-02 11:00:00,165.54,166.1,165.32,165.725,744097.0
2024-08-02 10:45:00,165.2,166.13,165.18,165.53,895849.0
2024-08-02 10:30:00,165.1,165.48,164.815,165.21,596027.0
2024-08-02 10:15:00,164.815,165.46,164.67,165.11,1288716.0
